Pub_Pri,School Code,School,City,County/State/Country
Private,53251,CALVARY CHAPEL HIGH SCHOOL,Santa Ana,Orange
Private,53840,CALVARY CHRISTIAN ACADEMY,Chula Vista,San Diego
Private,53326,CARDINAL NEWMAN HIGH SCHOOL,Santa Rosa,Sonoma
Private,51560,CATHEDRAL HIGH SCHOOL,Los Angeles,Los Angeles
Private,50662,DE LA SALLE HIGH SCHOOL,Concord,Contra Costa
Private,51584,EXCELSIOR SCHOOL,Arcadia,Los Angeles
Private,50978,FREMONT CHRISTIAN HIGH SCHOOL,Fremont,Alameda
Private,53290,GEORGIANA BRUCE KIRBY PREP SCH,Santa Cruz,Santa Cruz
Private,51694,INTERNATIONAL SCHOOL OF LOS ANGELES,Burbank,Los Angeles
Private,50140,LA SIERRA ACADEMY,Riverside,Riverside
Private,51570,LINFIELD CHRISTIAN SCHOOL,Temecula,Riverside
Private,51445,LOMA LINDA ACADEMY,Loma Linda,San Bernardino
Private,53802,LOUISVILLE HIGH SCHOOL,Woodland Hills,Los Angeles
Private,53711,MOUNT MADONNA SCHOOL,Watsonville,Santa Cruz
Private,51512,PINEWOOD SCHOOL,Los Altos Hills,Santa Clara
Private,50499,REDWOOD CHRISTIAN JR-SR HS,San Lorenzo,Alameda
Private,53650,SAINT BONAVENTURE HIGH SCHOOL,Ventura,Ventura
Private,51780,SAINT MARYS ACADEMY,Inglewood,Los Angeles
Private,53039,SAN FRANCISCO UNIVERSITY HS,San Francisco,San Francisco
Private,53061,SAN GABRIEL MISSION HIGH SCH,San Gabriel,Los Angeles
Private,52300,SANTA CLARA HIGH SCHOOL,Oxnard,Ventura
Private,53716,ST FRANCIS HS SALESIAN COL PREP,Watsonville,Santa Cruz
Private,52201,SUGAR BOWL ACADEMY,Norden,Placer
Private,53669,TRI CITY CHRISTIAN SCHOOL,Vista,San Diego
Private,54356,UNITED CHRISTIAN ACADEMY,Rancho Cucamonga,San Bernardino
Private,53048,URBAN SCHOOL OF SAN FRANCISCO,San Francisco,San Francisco
Private,53763,WHITTIER CHRISTIAN HIGH SCHOOL,La Habra,Orange
Private,52053,YORK SCHOOL,Monterey,Monterey
