Pub_Pri,School Code,School,City,County/State/Country
Public,54044,ROSELAND UNIVERSITY PREP,Santa Rosa,Sonoma
Private,53205,SAN DOMENICO SCHOOL,San Anselmo,Marin
Public,54645,LINDA MARQUEZ HS-SOC JUSTICE,Huntington Park,Los Angeles
Public,53756,LA SERNA HIGH SCHOOL,Whittier,Los Angeles
Public,50320,BEVERLY HILLS HIGH SCHOOL,Beverly Hills,Los Angeles
Public,53609,NORTHCOAST PREP & PERF ARTS A,Arcata,Humboldt
Public,50245,BELL HIGH SCHOOL,Bell,Los Angeles
Public,50912,BELLA VISTA HIGH SCHOOL,Fair Oaks,Sacramento
Public,52274,ONTARIO HIGH SCHOOL,Ontario,San Bernardino
Public,53570,TUSTIN HIGH SCHOOL,Tustin,Orange
Public,50925,FALLBROOK UNION HIGH SCHOOL,Fallbrook,San Diego
Private,52971,LYCEE FRANCAIS DE SAN FRAN,San Francisco,San Francisco
Private,53681,SOUTHLANDS CHRISTIAN HS,Walnut,Los Angeles
Public,54376,RAMON C CORTINES SCH VIS PERF,Los Angeles,Los Angeles
Public,50563,RUBEN S AYALA HIGH SCHOOL,Chino Hills,San Bernardino
Private,52843,FRANCIS W PARKER SCHOOL,San Diego,San Diego
Public,54541,PUC EARLY COLG ACADEMY LEADERS,Los Angeles,Los Angeles
Private,54103,XAVIER COLLEGE PREPARATORY HS,Palm Desert,Riverside
Public,50572,BONITA VISTA HIGH SCHOOL,Chula Vista,San Diego
Public,51580,EAGLE ROCK HIGH SCHOOL,Los Angeles,Los Angeles
Public,52719,LUTHER BURBANK HIGH SCHOOL,Sacramento,Sacramento
Public,54304,LITERACY FIRST CHARTER SCHOOLS,Lemon Grove,San Diego
Public,50379,JOHN F KENNEDY HIGH SCHOOL,La Palma,Orange
Public,50525,CERES HIGH SCHOOL,Ceres,Stanislaus
Public,51615,HOLLYWOOD HIGH SCHOOL,Los Angeles,Los Angeles
Public,51140,NARBONNE HIGH SCHOOL,Harbor City,Los Angeles
Public,50489,NORTH MONTEREY COUNTY HS,Castroville,Monterey
Public,51165,HEMET HIGH SCHOOL,Hemet,Riverside
Public,52280,ORANGE HIGH SCHOOL,Orange,Orange
Public,50620,COACHELLA VALLEY HIGH SCHOOL,Thermal,Riverside
Public,50911,FAIRFIELD HIGH SCHOOL,Fairfield,Solano
Public,54141,HERITAGE HIGH SCHOOL,Menifee,Riverside
Public,50805,EL CAJON VALLEY HIGH SCHOOL,El Cajon,San Diego
Public,51472,ENVIRONMENTAL CHARTER HS,Lawndale,Los Angeles
Public,53329,PINER HIGH SCHOOL,Santa Rosa,Sonoma
Public,51590,FAIRFAX HIGH SCHOOL,Los Angeles,Los Angeles
Public,52670,RAMONA HIGH SCHOOL,Riverside,Riverside
Public,53580,UKIAH HIGH SCHOOL,Ukiah,Mendocino
Public,52778,EVERETT ALVAREZ HIGH SCHOOL,Salinas,Monterey
Public,50528,CHATSWORTH HIGH SCHOOL,Chatsworth,Los Angeles
Public,52746,NORTH SALINAS HIGH SCHOOL,Salinas,Monterey
Public,50223,SOUTH HIGH SCHOOL,Bakersfield,Kern
Public,50230,BANNING HIGH SCHOOL,Banning,Riverside
Public,50081,KATELLA HIGH SCHOOL,Anaheim,Orange
Public,50873,ORANGE GLEN HIGH SCHOOL,Escondido,San Diego
Public,50495,CARUTHERS HIGH SCHOOL,Caruthers,Fresno
Private,53748,DE TOLEDO HIGH SCHOOL,West Hills,Los Angeles
Public,50837,MOUNTAIN VIEW HIGH SCHOOL,El Monte,Los Angeles
Public,50660,MOUNT DIABLO HIGH SCHOOL,Concord,Contra Costa
Public,54813,MOUNTAIN HOUSE HIGH SCHOOL,Mountain House,San Joaquin
Public,50680,CORONADO HIGH SCHOOL,Coronado,San Diego
Public,54644,LIBRA ACADEMY AT LINDA MARQUEZ HS,Huntington Park,Los Angeles
Public,53978,CITRUS HILL HIGH SCHOOL,Perris,Riverside
Public,52837,CLAIREMONT HIGH SCHOOL,San Diego,San Diego
Public,53675,VISTA HIGH SCHOOL,Vista,San Diego
Public,51811,ORTHOPAEDIC HOSP MED MAGNET HS,Los Angeles,Los Angeles
Public,50084,LOARA HIGH SCHOOL,Anaheim,Orange
Private,51685,LOYOLA HIGH SCHOOL,Los Angeles,Los Angeles
Private,53287,NEW ROADS SCHOOL,Santa Monica,Los Angeles
Public,53430,LINCOLN HIGH SCHOOL,Stockton,San Joaquin
Public,50508,CATHEDRAL CITY HIGH SCHOOL,Cathedral City,Riverside
Public,51242,MAR VISTA HIGH SCHOOL,Imperial Beach,San Diego
Public,50115,ANTIOCH HIGH SCHOOL,Antioch,Contra Costa
Public,50160,ARVIN HIGH SCHOOL,Arvin,Kern
Public,53328,MONTGOMERY HIGH SCHOOL,Santa Rosa,Sonoma
Public,50228,SIERRA VISTA HIGH SCHOOL,Baldwin Park,Los Angeles
Public,50830,ARROYO HIGH SCHOOL,El Monte,Los Angeles
Public,50816,SOUTHWEST HIGH SCHOOL,El Centro,Imperial
Public,53350,SELMA HIGH SCHOOL,Selma,Fresno
Public,51328,LA QUINTA HIGH SCHOOL,La Quinta,Riverside
Public,54317,MIRA MONTE HIGH SCHOOL,Bakersfield,Kern
Public,53303,ERNEST RIGHETTI HIGH SCHOOL,Santa Maria,Santa Barbara
Public,51994,JOHANSEN HIGH SCHOOL,Modesto,Stanislaus
Public,53633,ULYSSES S GRANT HIGH SCHOOL,Van Nuys,Los Angeles
Public,51953,GOLDEN VALLEY HIGH SCHOOL,Merced,Merced
Public,52425,PASO ROBLES HIGH SCHOOL,Paso Robles,San Luis Obispo
Public,50570,CHOWCHILLA UNION HIGH SCHOOL,Chowchilla,Madera
Public,52167,NORWALK HIGH SCHOOL,Norwalk,Los Angeles
Public,52305,OXNARD HIGH SCHOOL,Oxnard,Ventura
Public,50750,DINUBA HIGH SCHOOL,Dinuba,Tulare
Public,50334,DESERT HOT SPRINGS HS,Desert Hot Springs,Riverside
Public,51257,ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles
Public,52320,PALM SPRINGS HIGH SCHOOL,Palm Springs,Riverside
Public,52782,NATOMAS HIGH SCHOOL,Sacramento,Sacramento
Public,53785,PHINEAS BANNING HIGH SCHOOL,Wilmington,Los Angeles
Public,52073,MURRIETA VALLEY HIGH SCHOOL,Murrieta,Riverside
Public,54667,HUNTINGTON PARK INST APLD MED,Huntington Park,Los Angeles
Public,53635,VAN NUYS HIGH SCHOOL,Van Nuys,Los Angeles
Private,53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco
Public,52037,SCHURR HIGH SCHOOL,Montebello,Los Angeles
Public,53855,WILMER AMINA CARTER HS,Rialto,San Bernardino
Public,50083,MAGNOLIA HIGH SCHOOL,Anaheim,Orange
Public,53660,VICTOR VALLEY HIGH SCHOOL,Victorville,San Bernardino
Public,51405,LINCOLN HIGH SCHOOL,Lincoln,Placer
Public,52773,CAJON HIGH SCHOOL,San Bernardino,San Bernardino
Public,54150,HECTOR GODINEZ FUNDAMENTAL HS,Santa Ana,Orange
Public,50770,DOWNEY HIGH SCHOOL,Downey,Los Angeles
Public,53400,SOUTH GATE HIGH SCHOOL,South Gate,Los Angeles
Public,50880,ESCONDIDO HIGH SCHOOL,Escondido,San Diego
Public,50425,CALEXICO HIGH SCHOOL,Calexico,Imperial
Public,51672,KING DREW MAGNET HS MED/SCI,Los Angeles,Los Angeles
Private,51625,IMMACULATE HEART HIGH SCHOOL,Los Angeles,Los Angeles
Public,51662,UCLA COMMUNITY SCHOOL,Los Angeles,Los Angeles
Public,53552,TULARE WESTERN HIGH SCHOOL,Tulare,Tulare
Public,54474,MAGNOLIA SCI ACADEMY-SANTA ANA,Santa Ana,Orange
Public,54891,UNIVERSITY PREP VALUE HS,Los Angeles,Los Angeles
Public,53300,SANTA FE HIGH SCHOOL,Santa Fe Springs,Los Angeles
Private,51156,MOREAU CATHOLIC HIGH SCHOOL,Hayward,Alameda
Private,53370,NOTRE DAME HIGH SCHOOL,Sherman Oaks,Los Angeles
Public,50172,ATWATER HIGH SCHOOL,Atwater,Merced
Public,53459,MORENO VALLEY HIGH SCHOOL,Moreno Valley,Riverside
Public,51355,ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles
Public,50225,BALDWIN PARK HIGH SCHOOL,Baldwin Park,Los Angeles
Public,54618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles
Public,51045,SUNNYSIDE HIGH SCHOOL,Fresno,Fresno
Public,50210,EAST BAKERSFIELD HIGH SCHOOL,Bakersfield,Kern
Private,53197,JSERRA CATHOLIC HIGH SCHOOL,San Juan Capistrano,Orange
Public,51187,SULTANA HIGH SCHOOL,Hesperia,San Bernardino
Public,50048,ELLEN OCHOA PREP ACADEMY,Pico Rivera,Los Angeles
Public,54539,WONDERFUL COLLEGE PREP ACADEMY,Delano,Kern
Public,52658,ARLINGTON HIGH SCHOOL,Riverside,Riverside
Public,50566,DON ANTONIO LUGO HIGH SCHOOL,Chino,San Bernardino
Public,52696,JOHN A ROWLAND HIGH SCHOOL,Rowland Heights,Los Angeles
Public,53988,CENTRAL VALLEY HIGH SCHOOL,Ceres,Stanislaus
Public,53970,LEADERSHIP PUBLIC SCH RICHMOND,Richmond,Contra Costa
Public,53927,ROSEMONT HIGH SCHOOL,Sacramento,Sacramento
Public,52664,NORTE VISTA SENIOR HIGH SCHOOL,Riverside,Riverside
Public,52057,VALLEY VIEW HIGH SCHOOL,Moreno Valley,Riverside
Public,54281,EAST VILLAGE MIDDLE COLLEGE HS,San Diego,San Diego
Private,52697,CHRISTIAN BROTHERS HIGH SCHOOL,Sacramento,Sacramento
Public,50255,BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles
Public,51885,LYNWOOD HIGH SCHOOL,Lynwood,Los Angeles
Public,52315,PALMDALE HIGH SCHOOL,Palmdale,Los Angeles
Public,54173,CALIFORNIA MILITARY INSTITUTE,Perris,Riverside
Public,53628,SAN YSIDRO HIGH SCHOOL,San Diego,San Diego
Public,53966,CESAR CHAVEZ HIGH SCHOOL,Stockton,San Joaquin
Public,51550,BENJAMIN FRANKLIN HIGH SCHOOL,Los Angeles,Los Angeles
Public,50087,SAVANNA HIGH SCHOOL,Anaheim,Orange
Public,53964,RIVER VALLEY HIGH SCHOOL,Yuba City,Sutter
Public,50897,SUMMIT HIGH SCHOOL,Fontana,San Bernardino
Public,50697,ELIZABETH LEARNING CENTER,Cudahy,Los Angeles
Public,53515,CARSON HIGH SCHOOL,Carson,Los Angeles
Public,51890,MADERA HIGH SCHOOL,Madera,Madera
Public,54163,ALLIANCE M&E STERN MATH SCI SCH,Los Angeles,Los Angeles
Public,50583,WORKMAN HIGH SCHOOL,City Of Industry,Los Angeles
Public,53070,SAN JACINTO HIGH SCHOOL,San Jacinto,Riverside
Public,53417,MOUNT MIGUEL HIGH SCHOOL,Spring Valley,San Diego
Public,51028,BOLSA GRANDE HIGH SCHOOL,Garden Grove,Orange
Public,54015,VAUGHN NEXT CENTURY LEARN CTR,San Fernando,Los Angeles
Public,51261,CITY HONORS HIGH SCHOOL,Inglewood,Los Angeles
Public,50358,MISSION EARLY COLLEGE HIGH SCH,Santa Clara,Santa Clara
Public,51963,MERCED HIGH SCHOOL,Merced,Merced
Public,51375,LEUZINGER HIGH SCHOOL,Lawndale,Los Angeles
Public,53610,VALLEJO HIGH SCHOOL,Vallejo,Solano
Public,53130,SAN LORENZO HIGH SCHOOL,San Lorenzo,Alameda
Public,53107,W C OVERFELT HIGH SCHOOL,San Jose,Santa Clara
Public,54030,ROBERT FULTON COLLEGE PREP SCH,Van Nuys,Los Angeles
Public,52615,REEDLEY HIGH SCHOOL,Reedley,Fresno
Public,54255,IMPACT ACAD ARTS/TECHNOLOGY,Hayward,Alameda
Public,54869,ALPHA CINDY AVITIA HIGH SCHOOL,San Jose,Santa Clara
Public,52949,MIDDLE COLLEGE HIGH SCHOOL,San Bernardino,San Bernardino
Public,51418,LITTLEROCK HIGH SCHOOL,Littlerock,Los Angeles
Private,52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino
Public,51032,RANCHO ALAMITOS HIGH SCHOOL,Garden Grove,Orange
Public,52039,MARCO ANTONIO FIREBAUGH HS,Lynwood,Los Angeles
Public,52515,PORTERVILLE HIGH SCHOOL,Porterville,Tulare
Public,54672,ADELANTO HIGH SCHOOL,Adelanto,San Bernardino
Public,53765,WHITTIER HIGH SCHOOL,Whittier,Los Angeles
Public,50185,AVENAL HIGH SCHOOL,Avenal,Kings
Public,51352,LA MIRADA HIGH SCHOOL,La Mirada,Los Angeles
Public,50835,EL MONTE HIGH SCHOOL,El Monte,Los Angeles
Public,52048,SEASIDE HIGH SCHOOL,Seaside,Monterey
Private,52256,LAUREL SPRINGS SCHOOL,Ojai,Ventura
Public,50155,ARTESIA HIGH SCHOOL,Lakewood,Los Angeles
Public,52059,CANYON SPRINGS HIGH SCHOOL,Moreno Valley,Riverside
Public,54542,SOCIAL JUSTICE HUMANITAS ACAD,San Fernando,Los Angeles
Public,52659,LA SIERRA HIGH SCHOOL,Riverside,Riverside
Public,53847,PIONEER VALLEY HIGH SCHOOL,Santa Maria,Santa Barbara
Private,53053,DON BOSCO TECHNICAL INSTITUTE,Rosemead,Los Angeles
Public,52798,SAN GORGONIO HIGH SCHOOL,San Bernardino,San Bernardino
Public,51985,MODESTO HIGH SCHOOL,Modesto,Stanislaus
Public,52661,JOHN W NORTH HIGH SCHOOL,Riverside,Riverside
Public,52501,GAREY HIGH SCHOOL,Pomona,Los Angeles
Public,52902,JAMES MONROE HIGH SCHOOL,North Hills,Los Angeles
Public,52643,RIO LINDA SENIOR HIGH SCHOOL,Rio Linda,Sacramento
Public,52892,SOUTHWEST HIGH SCHOOL,San Diego,San Diego
Public,54045,PAJARO VALLEY HS,Watsonville,Santa Cruz
Public,54201,HEALTH SCIENCES HIGH/MID COLL,San Diego,San Diego
Public,50985,FRESNO HIGH SCHOOL,Fresno,Fresno
Public,53980,SOUTH EAST HIGH SCHOOL,South Gate,Los Angeles
Public,52672,RUBIDOUX HIGH SCHOOL,Jurupa Valley,Riverside
Public,50224,WEST HIGH SCHOOL,Bakersfield,Kern
Public,54247,ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles
Public,54436,MATH SCI TECH MAGNT ACD AT RHS,Los Angeles,Los Angeles
Public,54519,PUC LAKEVIEW CHARTER HIGH SCHL,San Fernando,Los Angeles
Public,52379,PACIFICA HIGH SCHOOL,Oxnard,Ventura
Public,52491,WILLIAM J PETE KNIGHT HIGH SCH,Palmdale,Los Angeles
Public,51247,INDIO HIGH SCHOOL,Indio,Riverside
Public,51795,SUSAN MILLER DORSEY HIGH SCHL,Los Angeles,Los Angeles
Public,51862,EDWARD R ROYBAL LEARNING CNTR,Los Angeles,Los Angeles
Public,51635,JAMES A GARFIELD HIGH SCHOOL,Los Angeles,Los Angeles
Public,53416,MONTE VISTA HIGH SCHOOL,Spring Valley,San Diego
Public,51122,HAWTHORNE MATH & SCIENCE ACAD,Hawthorne,Los Angeles
Public,52365,PARAMOUNT HIGH SCHOOL,Paramount,Los Angeles
Public,52166,JOHN GLENN HIGH SCHOOL,Norwalk,Los Angeles
Public,52275,CHAFFEY HIGH SCHOOL,Ontario,San Bernardino
Public,53760,PIONEER HIGH SCHOOL,Whittier,Los Angeles
Public,51479,PREUSS SCHOOL UCSD,La Jolla,San Diego
Public,53903,SAN DIEGO HIGH SCHOOL,San Diego,San Diego
Public,53739,WESTMINSTER HIGH SCHOOL,Westminster,Orange
Public,54702,RANCHO MIRAGE HIGH SCHOOL,Rancho Mirage,Riverside
Public,51395,LE GRAND UNION HIGH SCHOOL,Le Grand,Merced
Public,52608,CITY OF ANGELS SCHOOL,Los Angeles,Los Angeles
Public,52905,SAN FERNANDO HIGH SCHOOL,San Fernando,Los Angeles
Public,50551,MAYWOOD CTR ENRICHED STUDIES,Maywood,Los Angeles
Public,53249,CENTURY HIGH SCHOOL,Santa Ana,Orange
Public,50134,GRANITE HILLS HIGH SCHOOL,Apple Valley,San Bernardino
Public,54826,NAVA COLLEGE PREP ACADEMY,Los Angeles,Los Angeles
Public,51719,F BRAVO MEDICAL MAGNET HS,Los Angeles,Los Angeles
Public,54629,OFARRELL CHARTER SCHOOL,San Diego,San Diego
Public,52505,POMONA HIGH SCHOOL,Pomona,Los Angeles
Public,51161,WEST VALLEY HIGH SCHOOL,Hemet,Riverside
Public,50265,BELL GARDENS SENIOR HS,Bell Gardens,Los Angeles
Public,54555,CESAR CHAVEZ LA ARTES MAGNET,San Fernando,Los Angeles
Public,52620,RESEDA HIGH SCHOOL,Reseda,Los Angeles
Public,50942,HENRY J KAISER HIGH SCHOOL,Fontana,San Bernardino
Public,51113,GREENFIELD HIGH SCHOOL,Greenfield,Monterey
Public,50771,WARREN HIGH SCHOOL,Downey,Los Angeles
Public,53235,SANTA ANA HIGH SCHOOL,Santa Ana,Orange
Public,50740,GRANT HIGH SCHOOL,Sacramento,Sacramento
Public,51465,DAV STARR JORDAN HIGH SCHOOL,Long Beach,Los Angeles
Public,52216,VISTA DEL LAGO HIGH SCHOOL,Moreno Valley,Riverside
Public,54199,ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles
Public,50090,ANAHEIM HIGH SCHOOL,Anaheim,Orange
Public,53682,SILVERADO HIGH SCHOOL,Victorville,San Bernardino
Public,51652,LAUSD/USC MEDIA ARTS ENGR MAGN,Los Angeles,Los Angeles
Public,50465,CANOGA PARK HIGH SCHOOL,Canoga Park,Los Angeles
Public,54207,STELLA HIGH CHARTER SCHOOL,Los Angeles,Los Angeles
Public,50038,ORANGE VISTA HIGH SCHOOL,Perris,Riverside
Public,51239,MONTGOMERY HIGH SCHOOL,San Diego,San Diego
Public,54238,ANIMO PAT BROWN CHARTER HS,Los Angeles,Los Angeles
Public,50995,THEODORE ROOSEVELT HIGH SCHOOL,Fresno,Fresno
Public,54606,GRAND TERRACE HIGH SCHOOL,Grand Terrace,San Bernardino
Public,54053,SCHOOL BUS TOUR CONTRERAS LRN,Los Angeles,Los Angeles
Public,52735,SACRAMENTO HIGH SCHOOL,Sacramento,Sacramento
Public,54360,ALLIANCE LEICHTMAN-LEVINE ESHS,Los Angeles,Los Angeles
Public,54055,PORT OF LOS ANGELES HS,San Pedro,Los Angeles
Public,52850,HERBERT HOOVER HIGH SCHOOL,San Diego,San Diego
Public,52717,HIRAM W JOHNSON HIGH SCHOOL,Sacramento,Sacramento
Public,52056,RANCHO VERDE HIGH SCHOOL,Moreno Valley,Riverside
Public,54605,INDIAN SPRINGS HIGH SCHOOL,San Bernardino,San Bernardino
Public,50308,RISE KOHYANG HIGH SCHOOL,Los Angeles,Los Angeles
Public,53958,RONALD E MCNAIR HIGH SCHOOL,Stockton,San Joaquin
Public,53425,FRANKLIN HIGH SCHOOL,Stockton,San Joaquin
Public,51431,LAWNDALE HIGH SCHOOL,Lawndale,Los Angeles
Public,51788,FOSHAY LEARNING CENTER,Los Angeles,Los Angeles
Public,50580,CHULA VISTA SENIOR HIGH SCHOOL,Chula Vista,San Diego
Public,52508,INTERNATIONAL POLYTECHNIC HS,Pomona,Los Angeles
Public,51268,JURUPA HILLS HIGH SCHOOL,Fontana,San Bernardino
Public,54649,STEAM LEGACY HIGH SCHOOL CMPLX,South Gate,Los Angeles
Public,51359,LA PUENTE HIGH SCHOOL,La Puente,Los Angeles
Public,53404,SOUTH EL MONTE HIGH SCHOOL,South El Monte,Los Angeles
Public,54120,LINCOLN HIGH SCHOOL,San Diego,San Diego
Public,54060,EASTSIDE HIGH SCHOOL,Lancaster,Los Angeles
Public,50188,AZUSA HIGH SCHOOL,Azusa,Los Angeles
Public,54767,MATH AND SCIENCE COLLEGE PREP,Los Angeles,Los Angeles
Public,52513,MONACHE HIGH SCHOOL,Porterville,Tulare
Public,54381,FELICITAS GONZALO MENDEZ HS,Los Angeles,Los Angeles
Public,54607,APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles
Public,51357,NOGALES HIGH SCHOOL,La Puente,Los Angeles
Public,50092,WESTERN HIGH SCHOOL,Anaheim,Orange
Public,52622,EISENHOWER HIGH SCHOOL,Rialto,San Bernardino
Public,50205,BAKERSFIELD HIGH SCHOOL,Bakersfield,Kern
Public,53325,SANTA PAULA HIGH SCHOOL,Santa Paula,Ventura
Public,51722,MIDDLE COLLEGE HIGH SCHOOL,Los Angeles,Los Angeles
Public,51412,LANCASTER HIGH SCHOOL,Lancaster,Los Angeles
Public,51262,MORNINGSIDE HIGH SCHOOL,Inglewood,Los Angeles
Public,54531,SYNERGY QUANTUM ACADEMY,Los Angeles,Los Angeles
Public,51776,AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles
Public,51498,LENNOX MATH SCIENCE TECH ACAD,Inglewood,Los Angeles
Public,54723,E3 CIVIC HIGH,San Diego,San Diego
Public,53722,WATSONVILLE HIGH SCHOOL,Watsonville,Santa Cruz
Public,50944,A B MILLER HIGH SCHOOL,Fontana,San Bernardino
Public,51645,JOHN C FREMONT HIGH SCHOOL,Los Angeles,Los Angeles
Public,51520,ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles
Public,54693,CAMINO NUEVO HIGH SCHOOL NO 2,Los Angeles,Los Angeles
Public,52655,EL RANCHO HIGH SCHOOL,Pico Rivera,Los Angeles
Public,52629,RIALTO HIGH SCHOOL,Rialto,San Bernardino
Public,51020,GARDENA HIGH SCHOOL,Gardena,Los Angeles
Public,52297,CHANNEL ISLANDS HIGH SCHOOL,Oxnard,Ventura
Public,52742,ALISAL HIGH SCHOOL,Salinas,Monterey
Public,54513,ALLIANCE TED K TAJIMA HIGH SCH,Los Angeles,Los Angeles
Public,53258,MIDDLE COLLEGE HIGH SCHOOL,Santa Ana,Orange
Public,53685,WASCO UNION HIGH SCHOOL,Wasco,Kern
Public,53209,SAN DIEGO BUSINESS LEADERSHIP,San Diego,San Diego
Public,51781,OSCAR DE LA HOYA ANIMO CHARTER,Los Angeles,Los Angeles
Public,52503,GANESHA HIGH SCHOOL,Pomona,Los Angeles
Public,54728,VALOR ACADEMY HIGH SCHOOL,North Hills,Los Angeles
Public,54527,ALLIANCE TENNENBAUM FAMILY TECH HS,Los Angeles,Los Angeles
Public,53904,VIEW PARK PREP ACCEL CHARTER HS,Los Angeles,Los Angeles
Public,54081,PANORAMA HIGH SCHOOL,Panorama City,Los Angeles
Public,52948,ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino
Public,52029,MONTEBELLO HIGH SCHOOL,Montebello,Los Angeles
Public,54719,COBALT INSTITUTE MATH/SCIENCE,Victorville,San Bernardino
Public,50810,CENTRAL UNION HIGH SCHOOL,El Centro,Imperial
Public,54772,ALLIANCE MARGARET M BLOOMFIELD,Huntington Park,Los Angeles
Public,51305,KING CITY JOINT UNION HS,King City,Monterey
Public,53467,JOHN H FRANCIS POLYTECHNIC HS,Sun Valley,Los Angeles
Public,54118,ALLIANCE COLLINS FAMILY COLRDY,Huntington Park,Los Angeles
Public,51700,MANUAL ARTS SENIOR HIGH SCHOOL,Los Angeles,Los Angeles
Public,53242,SADDLEBACK HIGH SCHOOL,Santa Ana,Orange
Public,53305,SANTA MARIA HIGH SCHOOL,Santa Maria,Santa Barbara
Public,51952,MENDOTA HIGH SCHOOL,Mendota,Fresno
Public,50945,FONTANA HIGH SCHOOL,Fontana,San Bernardino
Public,50190,GLADSTONE HIGH SCHOOL,Covina,Los Angeles
Public,54630,CRAWFORD HIGH SCHOOL,San Diego,San Diego
Public,53420,EDISON SENIOR HIGH SCHOOL,Stockton,San Joaquin
Public,51230,HUNTINGTON PARK HIGH SCHOOL,Huntington Park,Los Angeles
Public,53066,THURGOOD MARSHALL ACADEMIC HS,San Francisco,San Francisco
Public,50348,BLOOMINGTON HIGH SCHOOL,Bloomington,San Bernardino
Public,54225,WEST ADAMS PREPARATORY HS,Los Angeles,Los Angeles
Public,51840,WOODROW WILSON HIGH SCHOOL,Los Angeles,Los Angeles
Public,51255,ANIMO INGLEWOOD CHARTER HS,Inglewood,Los Angeles
Public,52722,FLORIN HIGH SCHOOL,Sacramento,Sacramento
Public,52736,VALLEY HIGH SCHOOL,Sacramento,Sacramento
Public,52440,PERRIS HIGH,Perris,Riverside
Public,54735,ASPIRE OLLIN UNIV PREP ACDMY,Huntington Park,Los Angeles
